uid,text,A,B,C,D,E,F,G,H,media_refs
25A_Q80,"80. Let x be an odd number. In terms of x , 82. what is the sum of the two even numbers y cm closest to x ? x cm M N P Q In the figure above, N is the midpoint of ‾MQ . Which segment has length (2x − y) centimeters? M950033_2",,,,,‾PQ,‾NP,‾MQ,2x − 4,"25A_Q80_A, 25A_Q80_B, 25A_Q80_C, 25A_Q80_D"
25A_Q81,"81. In 1991, the total public debt of the United States was about $3,600,000,000,000. In that year, there were about 250,000,000 people in the United States. Which amount is the best estimate of the public debt per person for M060247_2 that year? 83. 25 ft 20 ft What is the area of the parallelogram shown above?",750 sq ft,600 sq ft,500 sq ft,300 sq ft,,,,‾MP,"25A_Q81_A, 25A_Q81_B, 25A_Q81_C, 25A_Q81_D"
25A_Q84,"84. On Wednesday, a baker produced 100 86. Which graph represents the solution to the more loaves of bread than were produced inequality x + 4 ≥ 3 ? on Tuesday. On Thursday, the baker E. produced 50 fewer loaves than were –4 –3 –2 –1 0 1 2 3 4 5 6 7 produced on Tuesday. If the total number F. of loaves produced on all three days was –4 –3 –2 –1 0 1 2 3 4 5 6 7 230, how many loaves were produced on G. Wednesday? –4 –3 –2 –1 0 1 2 3 4 5 6 7 –4 –3 –2 –1 0 1 2 3 4 5 6 7 M950155_1 _1 M050189_3 87. The reciprocal of is added to the 4 85. reciprocal of 3. What is the reciprocal QUIZ SCORES IN of this sum? MRS. ARCH’S CLASS Quiz Score Number of Students _3 A. 13 60 9 70 7 _3 B. 4 80 4 _4 90 5 C. 5 100 3 _13 D. 4 In the table above, what is the mean quiz score?",60,70,75,80,60 H.,80,120,160,"25A_Q84_A, 25A_Q84_B, 25A_Q84_C, 25A_Q84_D, 25A_Q84_E"
25A_Q88,"88. Nura made a square poster with a side 89. length of 13 inches. Latrice made a square INGREDIENTS FOR poster with a side length of 15 inches. 4 SERVINGS OF OATMEAL What is the difference, in square inches, between the area of Latrice’s poster and Ingredient Cups the area of Nura’s poster? _2 Oats _1 4 The table shows the cups of ingredients used to make 4 servings of oatmeal. What is the unit rate for cups of oats per cup of water? _1 A. 6 _8 B. 39 _13 C. 16 _13 D. 8",,,,,56 3,8,4 Water 3,2,25A_Q88_A
25A_Q90,"90. If − x = + , what is the (5 2) 4 3 value of x? | (− 8) − 12 + ( − 17) − (− 31) | − | 24 | _11 120 _2 F. 7 _5 G. 6 H. 44 _55 H. 6 M970128_2 93. M040191_1 CELL PHONE SALES BY COLOR",,,,,E. −30,−18,18,,25A_Q90_A
25A_Q91,"91. In a certain state, the sales tax rate Percentage of Cell Color increased from 7.0% to 7.5%. What Phones Sold was the increase in the sales tax on a White 8k $200 item? Black 30 Blue 30 − 2k Red k + 5 Total 100 The table above shows cell phone sales by color. What percentage of the cell phones sold were blue?",18%,20%,22%,28%,,,,,25A_Q91_A
25A_Q94,"94. 96. 1 2 X Y Z 13 in. 13 in. 12 in. On the number line above, the distance between X and Y is 1 unit, and the 10 in. distance between Y and Z is 2 units. What is the distance, in units, between Y and Raquel is cutting out pieces of cardboard the midpoint of X and Z? to make a pyramid. She will use a square piece for the base and identical triangular _1 E. 2 pieces for the sides. The figure above shows the dimensions of the triangle for each side. What will be the total surface area, in square inches, of the pyramid, _1 including the square base? 2 M030083_2",,,,,280,295,340,360,"25A_Q94_A, 25A_Q94_B, 25A_Q94_C, 25A_Q94_D, 25A_Q94_E, 25A_Q94_F"
25A_Q95,95. By what percent did the price of a cup of M990012_2 coffee increase if its price was increased,,,,,,,,,"25A_Q95_A, 25A_Q95_B, 25A_Q95_C, 25A_Q95_D, 25A_Q95_E, 25A_Q95_F"
25A_Q97,97. The price of a sandwich was raised from from $1.25 to $1.35? $6.25 to $6.75. What was the percent,5%,8%,7%,50%,,,,,"25A_Q97_A, 25A_Q97_B, 25A_Q97_C, 25A_Q97_D, 25A_Q97_E, 25A_Q97_F"
25A_Q98,"98. Terrell played 5 computer games and 101. A tank with a 500- gallon capacity earned a mean score of 8 points per currently contains 75 gallons of water. game. If his mean score for the first 4 Additional water is poured into this tank at games was 7 points per game, how many a rate of 5 gallons per minute. After points was his score in the fifth game? 45 minutes of adding water, what percentage of the tank’s total capacity will be filled? (Assume that there is no loss of M830180_2",45%,55%,60%,70%,9,11,12 water from the tank.),14,25A_Q98_A
25A_Q99,"99. Lian bought enough oranges to fill 4 bags. Each bag contains 8 oranges. The total cost was $11.52. At that rate, how much M890006_4 would Lian pay for 42 oranges?",,,,,,,,,25A_Q99_A
25A_Q102,"102. Misha wants to use ribbon to make 2 straps for a backpack. The ribbon costs 1 yards of ribbon, how much will Misha 4 pay for the ribbon (not including tax)? M970201_4 G. $11.25",$17.28,$15.12,$15.02 $5.00 a yard. If each strap requires,$12.52 _1,$4.00,$6.25,,,25A_Q102_A
25A_Q100,100. 3.6 ÷ 0.018 = H. $12.50,,,,,0.005,0.648,20,200,25A_Q100_A
25A_Q104,104. In a survey of 200 adults in the town of,,,,,,,,,25A_Q104_A
25A_Q103,"103. A graph shows the proportional Waskegon, 45 reported reading the online relationship between the number of test version of the Waskegon Bulletin the questions a student gets correct, x, and previous day. If 25,000 adults live in Waskegon, which number is the best the student’s test score, y. The ordered estimate of the number of adults who read _5 pair 1, is on the graph. What does ( 4) the online version of the Waskegon the y- coordinate of the ordered pair Bulletin the previous day? represent in this relationship? E. 5,600 _1 G. 11,300 4 H. 24,800 _1 4 questions in 4 minutes. M170111_3 correctly will earn 4 points. Which equation describes the relationship between the number of days hiked, x, and the number of miles traveled, y? _3 17 _17 3",y = x,y = 3x,y = x,y = 17x,,"9,000",,,25A_Q103_A
25A_Q108,108. 3 (0.01) − 3 (0.1) =,,,,,,,,,25A_Q108_A
25A_Q106,"106. Carolyn walked 3 miles from her house to _1 the library and then 2 miles farther to 2 E. −0.33 the grocery store. Returning home by the _2 same route, she walked 1 miles before 3 miles did Carolyn have left to walk home? _5 6 _1 M170125_2 6",,,,,3,4,0,0.33,25A_Q106_A
25A_Q109,109. What is the value of _2 3 10 _1 + −5 _ 1 − −2 _3 ? 2 ( 3) ( 4) _1 6 _5 12 _11 12 _1 M170001_3 12 _1 _1,2,7,13,,,,4,7,25A_Q109_A
25A_Q107,107. A child grows 1 inches in of a year. _7 4 3 12 What would be his yearly growth rate in inches per year? _5 A. 12 _1 4 _3 4 _1 4,,3,3,4,,,,,25A_Q107_A
25A_Q110,"110. Carlos has $350 in a savings account that 112. The table below shows the number of cups earns 5% simple interest each year. How of red paint and blue paint used to make a much will he have in the account after purple paint mixture. 1 year, if there is no money withdrawn? PURPLE PAINT Cups Cups of of Red Paint Blue Paint 1 1.5 4 6 11 y Based on the relationship between the MM117700115544__22 number of cups of red paint and the",,,,,$17.50,$175.00,$367.50,$525.00,
25A_Q111,"111. The probability of an event occurring number of cups of blue paint, what is the is 0.05. What is the chance that the event value of y? will occur? FFOORRMM A A 5566 CCOONNTTIINNUUEE TTOO TTHHEE NNEEXXTT PPAAGGEE FFOORRMM AA 8877 CCOONNTTIINNUUEE OONN TTOO TTHHEE NNEEXXTT PPAAGGEE",likely F. 13,unlikely G. 16.5,impossible H. 24,neither likely nor unlikely,10.5,,,,
25A_Q113,"113. 114. An ice cream shop sells 16 cups of ice cream for $48 and 4 cups for $12. There P Q R is a proportional relationship between the –3 –2 – 1 0 1 2 3 4 5 6 7 8 number of cups of ice cream and the cost. What is the constant of proportionality for On the number line above, what is the this relationship? distance, in units, between the midpoint of ‾ PQ and the midpoint of ‾ QR ? F. 3 dollars per cup THIS IS THE END OF THE TEST. IF TIME REMAINS, YOU SHOULD CHECK YOUR ANSWERS. BE SURE THAT THERE ARE NO STRAY MARKS, PARTIALLY FILLED ANSWER CIRCLES, OR INCOMPLETE ERASURES ON YOUR",3,4,5,6,3 cups per dollar,,4 cups per dollar,4 dollars per cup,"25A_Q113_A, 25A_Q113_B, 25A_Q113_C"
25A_Q1,1. B 14. F 27. C 40. F 53. C 66. H 79. A 92. F 105. C,,,,,,,,,"25A_Q1_A, 25A_Q1_B, 25A_Q1_C"
25A_Q2,2. E 15. C 28. H 41. A 54. F 67. A 80. F 93. B 106. E,,,,,,,,,"25A_Q2_A, 25A_Q2_B, 25A_Q2_C"
25A_Q3,3. B 16. G 29. C 42. G 55. B 68. G 81. B 94. E 107. C,,,,,,,,,"25A_Q3_A, 25A_Q3_B, 25A_Q3_C"
25A_Q4,4. H 17. A 30. H 43. B 56. H 69. D 82. E 95. B 108. F,,,,,,,,,"25A_Q4_A, 25A_Q4_B, 25A_Q4_C"
25A_Q5,5. B 18. E 31. D 44. H 57. B 70. H 83. B 96. G 109. B,,,,,,,,,"25A_Q5_A, 25A_Q5_B, 25A_Q5_C"
25A_Q6,6. F 19. D 32. E 45. D 58. -0.4 71. A 84. H 97. B 110. G,,,,,,,,,"25A_Q6_A, 25A_Q6_B, 25A_Q6_C"
25A_Q7,7. B 20. H 33. B 46. E 59. 150 72. H 85. C 98. G 111. B,,,,,,,,,"25A_Q7_A, 25A_Q7_B, 25A_Q7_C"
25A_Q8,8. G 21. D 34. E 47. D 60. 2.5 73. D 86. E 99. B 112. G,,,,,,,,,"25A_Q8_A, 25A_Q8_B, 25A_Q8_C"
25A_Q9,9. D 22. G 35. B 48. F 61. 5.5 74. H 87. A 100. H 113. C,,,,,,,,,"25A_Q9_A, 25A_Q9_B, 25A_Q9_C"
25A_Q10,10. G 23. D 36. E 49. C 62. 1 75. C 88. E 101. C 114. F,,,,,,,,,"25A_Q10_A, 25A_Q10_B, 25A_Q10_C"
25A_Q11,11. D 24. F 37. D 50. G 63. A 76. G 89. B 102. H,,,,,,,,,"25A_Q11_A, 25A_Q11_B, 25A_Q11_C"
25A_Q12,12. E 25. A 38. H 51. A 64. G 77. A 90. H 103. B,,,,,,,,,"25A_Q12_A, 25A_Q12_B, 25A_Q12_C"
25A_Q13,13. D 26. H 39. A 52. E 65. B 78. F 91. A 104. E 156 156,,,,,,,,,"25A_Q13_A, 25A_Q13_B, 25A_Q13_C"
